persnum1,tcinpsty
0235,015100
0235,005300
0235,010700
0235,002400
0235,002500
0235,012100
0236,002900
0236,005200
0237,008500
0237,004300
0238,003400
0238,020400
0238,008700
0238,001300
0238,013300
0240,006500
0240,003800
0240,002700
0240,005000
0240,005100
0240,002300
0244,002700
0244,005000
0244,022700
0245,011600
0245,010900
0246,001200
0246,003900
0246,001600
0246,001200
0246,002700
0246,005400
0251,016600
0251,008900
0251,007800
0251,024000
0251,015800
0252,005500
0252,002000
0252,010100
0252,017900
0252,010100
0252,017900
0253,002500
0253,002500
0254,001300
0256,002200
0259,002700
0260,004000
0260,002900
0260,001800
0261,019600
0261,034200
0261,006200
0261,007700
0261,022800
0261,011200
0261,005700
0263,006800
0263,004200
0264,005400
0264,005500
0264,010600
0267,022200
0268,015000
0268,009500
0268,007100
0268,008900
0268,008900
0270,003500
0270,010000
0270,004900
0270,009600
0270,005800
0274,005000
0275,003200
0275,007500
0275,012800
0275,011000
0275,007800
0276,005200
0276,000900
0276,004700
0276,006500
0276,009100
0276,009500
0277,001000
0278,006300
0278,041100
0278,007000
0278,005300
0278,004800
0278,002700
0278,005500
0278,003200
0278,023000
0281,004300
0284,003100
0286,002000
0286,000700
0286,004100
0287,004200
0287,007000
0287,007600
0288,002700
0288,004700
0288,002300
0289,007300
0289,011800
0290,002400
0290,002700
0292,002700
0292,001700
0292,011800
0293,003600
0297,012800
0297,003000
0299,002500
0299,001500
0301,001700
0301,003000
0302,002900
0303,000800
0304,005600
0304,001900
0305,005900
0306,004200
0306,005200
0307,001200
0307,020800
0308,001900
0308,001900
0308,001800
0308,003900
0309,001900
0312,002800
0312,003100
0312,003700
0312,005800
0312,007400
0312,007600
0316,005300
0322,002600
0323,003000
0323,005200
0324,002800
0324,000600
0324,001400
0324,003800
0325,002000
0325,001700
0325,003800
0325,004900
0325,003700
0325,005900
0325,005300
0325,005800
0326,001800
0327,009700
0329,002400
0330,001500
0330,019300
0330,011200
0331,001700
0333,001100
0333,005400
0335,004000
0336,001000
0336,003700
0336,002500
0337,003800
0338,005300
0339,001000
0342,005000
0342,004600
0342,010700
0342,005700
0343,002500
0343,000900
0343,027400
0343,003000
0343,023200
